Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
436f970c9ea9169c,Gabriel Benitez,Moggly,5.8,155.0,71.0,Southpaw,False,Male,Lightweight,23.0,13.0,0.0,556.27,0.47,47.6,1.07,0.6,77.47,0.41,0.6,0.54,0.15,0.31,Striker
438d497617ecb16e,Samuel Sanches,The Prodigy,5.1,155.0,74.0,Orthodox,False,,,11.0,1.0,0.0,,,,,,,,,,,,
439d4bbefd4e6940,Kevin Haley,The North Woods Nightmare,6.2,205.0,,Orthodox,False,,,6.0,4.0,0.0,,,,,,,,,,,,
43a59ce3bb40449e,Mizuki,No Nickname,5.3,115.0,65.0,Orthodox,False,Female,Women's Strawweight,15.0,6.0,0.0,900.0,0.0,65.25,0.75,0.25,189.0,0.5,0.25,0.0,0.0,1.0,Striker
43db649da89fac4b,Rilley Dutro,No Nickname,5.8,125.0,,Orthodox,False,,,11.0,4.0,0.0,,,,,,,,,,,,
43e549b803ec7375,Artem Vakhitov,No Nickname,6.1,205.0,75.0,Orthodox,False,,,3.0,1.0,0.0,,,,,,,,,,,,
4408865b4e65e374,Maria Silva,Viuva Negra,5.3,115.0,64.0,Orthodox,False,,,8.0,1.0,0.0,,,,,,,,,,,,
440c9dbab63528fb,Paul Herrera,The Bone Crusher,5.1,185.0,,Orthodox,False,Male,Open Weight,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,125.64192771084338,0.4450561797752809,0.0,0.0,0.0,0.0,No Clear Style
4417980b3e798abf,Reuben Duran,No Nickname,5.7,135.0,71.0,Orthodox,False,Male,Bantamweight,11.0,7.0,1.0,690.5,0.75,40.25,0.75,0.5,241.25,0.54,0.5,0.5,0.5,0.0,Striker
441eacbe20e0e80b,Augusto Sakai,No Nickname,6.3,265.0,77.0,Orthodox,False,Male,Heavyweight,16.0,5.0,1.0,663.89,0.11,53.33,1.0,0.11,150.11,0.55,0.11,0.75,0.0,0.25,Striker
44260175069b6276,Jens Pulver,Little Evil,5.7,145.0,70.0,Southpaw,False,Male,Lightweight,27.0,19.0,1.0,779.56,0.11,25.33,0.44,0.44,297.67,0.33,0.44,0.33,0.0,0.67,Wrestler
